Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
2018,Peral,Foraminifera,Globoconella,inflata,Globoconella,inflata,,,Globoconella inflata 355-400 MD08-3179,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.629,0.007,,12.03878929,,0.186,0.82,0.24,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globoconella,inflata,Globoconella,inflata,,,Globoconella inflata 400-450 MD08-3179,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,4,0.622,0.007,,12.00490123,,0.186,0.82,0.24,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globoconella,inflata,Globoconella,inflata,,,Globoconella inflata 450-500 MD08-3179,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,3,0.625,0.009,,12.0516,,0.19,0.82,0.24,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globorotalia,menardii,Globorotalia,menardii,,,Globorotalia menardii MD00-2360,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,20,0.609,0.004,,11.6976,,0.18,0.33,0.23,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globorotalia,menardii,Globorotalia,menardii,,,Globorotalia menardii MD02-2577,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,8,0.609,0.005,,11.6627,,0.18,0.89,0.21,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globorotalia,menardii,Globorotalia,menardii,,,Globorotalia menardii MD12-3426,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,7,0.618,0.006,,11.7725,,0.18,0.14,0.26,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globorotalia,truncatulinoides,Globorotalia,truncatulinoides,,,Globorotalia truncatulinoides MD08-3179,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.630,0.004,,12.0454,,0.19,0.7,0.22,,,,ICDES,Large,Forams,Planktic
2018,Peral,Foraminifera,Globorotalia,truncatulinoides,Globorotalia,truncatulinoides,,,Globorotalia truncatulinoides MD08-3179,C,IPSL,Foraminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,12,0.636,0.005,,12.0454,,0.19,0.7,0.22,,,,ICDES,Large,Forams,Planktic
2010,Eagle,Teeth,Carcharias ,taurus,Carcharias,Carcharias taurus,,,Sand Tiger Shark,Apatite,Caltech,NonForaminifera,1,1,Natural,NonMollusk,Non-lake,NonCorals,5,0.596,0.011,23.6,11.35582117,1,0.076,,,90,,,ICDES,Large,Neither,Neither
2010,Eagle,Teeth,Carcharias ,taurus,Carcharias,Carcharias taurus,,,Sand Tiger Shark,Apatite,Caltech,NonForaminifera,1,1,Natural,NonMollusk,Non-lake,NonCorals,3,0.595,0.014,25.3,11.22682191,1,0.075,,,90,,,ICDES,Large,Neither,Neither
2019,Loffler,,Loxodonta ,africana,Loxodonta ,africana,,,Elephant tooth Enamel,Apatite,Goethe,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,49,0.5771438,0.0024289,37,10.39576441,1,0.067,,,110,,,ICDES,Large,Neither,Neither
2019,Loffler,,Loxodonta ,africana,Loxodonta ,africana,,,Elephant tooth dentine,Apatite,Goethe,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,17,0.5817401,0.003978,37,10.39576441,1,0.067,,,110,,,ICDES,Large,Neither,Neither
2019,Loffler,,Somniosus,microcephalus,Somniosus,microcephalus,,,GL Shark enameloid,Apatite,Goethe,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,10,0.6547552,0.0034511,1,13.3052641,2,0.192,,,110,,,ICDES,Large,Neither,Neither
2019,Loffler,,Somniosus,microcephalus,Somniosus,microcephalus,,,GL shark dentine,Apatite,Goethe,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,16,0.6665815,0.0078405,1,13.3052641,2,0.192,,,110,,,ICDES,Large,Neither,Neither
2019,Loffler,,Charcarius,taurus,Charcarius,taurus,,,ST Shark dentine,Apatite,Goethe,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,13,0.6186421,0.0071365,20,11.63644183,1,0.079,,,110,,,ICDES,Large,Neither,Neither
2023,Griffiths,Hippoglossus,Hippoglossus,Hippoglossus hippoglossus,Hippoglossus,Hippoglossus hippoglossus,,,AK-HIP',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,2,0.633,0.011,7,12.74144683,3,0.269,,,90,,,ICDES,Large,Neither,Neither
2010,Eagle,Teeth,Ceratotherium,simum,Ceratotherium,Ceratotherium simum,,,White Rhinoceros,Apatite,Caltech,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,10,0.58,0.008,37,10.39576441,1,0.067,,,90,,,ICDES,Large,Neither,Neither
2010,Eagle,Teeth,Elephas,maximus indicus,Elephas,Elephas maximus indicus,,,Indian Elephant,Apatite,Caltech,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,4,0.566,0.007,37,10.39576441,1,0.067,,,90,,,ICDES,Large,Neither,Neither
2010,Eagle,Teeth,Crocodylus ,niloticus,Crocodylus,Crocodylus niloticus,,,Nile Crocodile,Apatite,Caltech,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,10,0.589,0.008,28,11.02641325,3,0.216,,,90,,,ICDES,Large,Neither,Neither
2010,Eagle,Teeth,Alligator,mississippiensis,Alligator,Alligator mississippiensis,,,American Alligator,Apatite,Caltech,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,8,0.594,0.007,28,11.02641325,3,0.216,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Ophiodon,Ophiodon,Ophiodon elongatus,Ophiodon,Ophiodon elongatus,,,AK-OPH',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,2,0.646,0.013,7,12.74144683,3,0.269,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Carcharias,Carcharias,Carcharias taurus,Carcharias,Carcharias taurus,,,AQ-TAR,Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,3,0.587,0.007,26,11.17434268,1,0.074,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Carcharhinus,Carcharhinus,Carcharhinus limbatus,Carcharhinus,Carcharhinus limbatus,,,BS-SA-1',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,2,0.637,0.022,16.8,11.89470769,0.7,0.057,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Carcharhinus,Carcharhinus,Carcharhinus limbatus,Carcharhinus,Carcharhinus limbatus,,,BS-SA-2',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,2,0.624,0.042,16.8,11.89470769,0.7,0.057,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Elephant,Elephas,maximus indicus,Elephas,Elephas maximus indicus,,,Elephant E,Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,9,0.57,0.011,36.5,10.42936415,1,0.067,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Galeocerdo ,Galeocerdo ,Galeocerdo cuvier,Galeocerdo ,Galeocerdo cuvier,,,GAL-CUV',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,5,0.606,0.015,18.1,11.78876015,1,0.081,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Isurus,Isurus,Isurus oxyrinchus,Isurus,Isurus oxyrinchus,,,JP-OXY',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,3,0.608,0.009,23,11.40188158,4,0.302,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Carcharias,Carcharias,Carcharias taurus,Carcharias,Carcharias taurus,,,Long Aqua',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,4,0.593,0.013,23.6,11.35582117,1,0.076,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Isurus,Isurus,Isurus oxyrinchus,Isurus,Isurus oxyrinchus,,,MK-NJ-1',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,1,0.603,,20,11.63644183,4,0.311,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Odontospis,Odontospis,Odontospis ferox,Odontospis,Odontospis ferox,,,ODO-FER',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,4,0.648,0.01,11,12.3852472,2,0.173,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Carcharhinus,Carcharhinus,Carcharhinus brevipinna,Carcharhinus,Carcharhinus brevipinna,,,SP-FL-1',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,1,0.586,,28,11.02641325,3,0.216,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Carcharias,Carcharias,Carcharias taurus,Carcharias,Carcharias taurus,,,STS-2',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,9,0.594,0.007,25,11.24942624,1,0.075,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,Galeocerdo ,Galeocerdo ,Galeocerdo cuvier,Galeocerdo ,Galeocerdo cuvier,,,TS-SA-1',Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,2,0.602,0.002,18.1,11.78876015,1,0.081,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,,,,,Balaena mysticetus,,,WE-CA-E,Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,3,0.591,0.026,33.8,10.61364908,0.83,0.057,,,90,,,ICDES,Large,Neither,Neither
2023,Griffiths,,,,,Carcharadon carcharias,,,WS-SA-1,Apatite,UCLATripati,NonForaminifera,2,1,Natural,NonMollusk,Non-lake,NonCorals,2,0.629,0.011,17.1,11.87013185,0.3,0.024,,,90,,,ICDES,Large,Neither,Neither
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,Ab-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.010416913,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,Ab-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.672,0.006599117,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Astarte,Astarte borealis,Astarte,Astarte borealis,,,Ab-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.655,0.020200522,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,Ac-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.685,0.002785286,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,Ac-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.684,0.005358955,2,13.20872705,2,0.190,0.66,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,Ac-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.656,0.011186398,2,13.20872705,2,0.190,0.66,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,Brach-m1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.66,0.002489598,5.5,12.87899294,1,0.092,0,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,Brach-m2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.014890612,5.5,12.87899294,1,0.092,0,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,Cc-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.010538726,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,Cc-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.012756774,2,13.20872705,2,0.190,0.66,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,Cc-2_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.735,0.049702075,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,Cc-2_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.01308367,2,13.20872705,2,0.190,0.66,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,Cc-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.67,0.009147,2,13.20872705,2,0.190,0.66,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,Ci-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.677,0.011792548,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,Ci-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.65,0.004769117,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,Ci-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.674,0.008630987,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,FGS-1-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.566,0.00570956,27.5,11.06311899,2.2,0.160,1.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,FGS-1-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.594,0.004770508,23,11.40188158,1.5,0.115,0.99,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,FGS-1-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.602,0.005249356,19.8,11.6523359,0.8,0.063,0.68,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,GB3-5,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.674,0.010999313,-1,13.50154048,1,0.099,-0.2,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Rhychonellata,Magellania,Magellania spp,Magellania,Magellania spp,,,GB4-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.659,0.032048791,-1,13.50154048,1,0.099,-0.2,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,Ha-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.664,0.00769264,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,Ha-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.678,0.005175817,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Hiatella,Hiatella arctica,Hiatella,Hiatella arctica,,,Ha-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.694,0.009203748,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,HMB-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.614,0.035845,10.5,12.42894952,1,0.087,0.1,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,HPL-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.639,0.007441911,14.4,12.09409167,0.5,0.042,-3.76,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,HPL-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.591,0.00356,27.3,11.07785263,0.2,0.015,-3.54,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Crassostrea,Crassostrea virginica,Crassostrea,Crassostrea virginica,,,HPL-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.606,0.006175827,23.7,11.34817158,0.1,0.008,-3.69,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,Mt-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.665,0.006931581,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,Mt-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.649,0.011757127,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mya,Mya truncata,Mya,Mya truncata,,,Mt-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.668,0.004105956,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,Mya-16,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.004050362,15.9,11.96889488,1.7,0.140,-1.57,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,Mya-3.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.651,0.0227,3.4,13.07533048,0.8,0.075,-1.57,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,Mya-8.5,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.619,0.012376039,8.6,12.59714564,2.2,0.194,-1.66,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,Mytilus-12,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.672,0.019265,12,12.29853123,0.5,0.043,-2.03,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,Mytilus-15,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.645,0.004956149,15,12.04377829,0.5,0.042,-1.37,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,Mytilus-4,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.68,0.007852922,4,13.01877838,0.5,0.047,-1.94,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Mytilus,Mytilus edulis,Mytilus,Mytilus edulis,,,Mytilus-8,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,4,0.661,0.007614406,8,12.65096995,0.5,0.045,-3.07,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,P105,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.613,0.005926348,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,P110,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.596,0.010779306,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,P132,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.628,0.006438362,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,P52,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.614,0.000898016,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,P8-30,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.622,0.003532734,24.5,11.28725213,0.5,0.038,-0.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Cephalopods,Nautilus,Nautilus pompilius,Nautilus,Nautilus pompilius,,,P95,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.611,0.006827183,20,11.63644183,1,0.079,-0.34,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,Pp-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.593,0.000946262,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,Pp-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.604,0.01374225,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Bivalve,Phacoides,Phacoides pectinatus,Phacoides,Phacoides pectinatus,,,Pp-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.605,0.008059193,29.5,10.91738544,3,0.213,0.8,NA,90,,Petersen,CDES,Large,Neither,Neither
2013,Henkes,Rhychonellata,Lacazella,Lacazella spp,Lacazella,Lacazella spp,,,RBJ-1-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.591,0.005223958,27.5,11.06311899,1,0.073,0.8,NA,90,,Petersen,CDES,Large,Neither,Neither
2014,Wacker,Bivalve,Spondylu,Spondylu ssp,Spondylu,Spondylu ssp,,,Spondylussp,C,Goethe,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,10,0.587165,0.005998344,29,10.95354767,1,0.072,0.5,NA,90,,Petersen,CDES,Large,Neither,Neither
2014,Petrizzo,Bivalve,Euciroa,Euciroa pacifica,Euciroa,Euciroa pacifica,,,CIS006-Epacifica,A,UCLAYoung,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,7,0.639711429,0.011929176,6,12.8328978,1,0.091,,,25,,Petersen,CDES,Large,Neither,Neither
2014,Petrizzo,Bivalve,Pharaonella,Pharaonella pharaonis,Pharaonella,Pharaonella pharaonis,,,CIS020-Pp,A,UCLAYoung,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,7,0.588634286,0.003766128,25,11.24942624,3,0.223,,,25,,Petersen,CDES,Large,Neither,Neither
2014,Petrizzo,Bivalve,Propeamussium,Propeamussium dalli,Propeamussium,Propeamussium dalli,,,CIS004-PDalli,C,UCLAYoung,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.648014,0.004417387,7,12.74144683,1,0.090,,,25,,Petersen,CDES,Large,Neither,Neither
2014,Petrizzo,Bivalve,Cleidothaerus,Cleidothaerus albidus,Cleidothaerus,Cleidothaerus albidus,,,CIS022-Calbidus,A,UCLAYoung,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.62503,0.01134,18.8,11.73229679,5.5,0.430,,,25,,Petersen,CDES,Large,Neither,Neither
2014,Petrizzo,Bivalve,Perna,Perna canaliculus,Perna,Perna canaliculus,,,CIS023-Pcanal,C,UCLAYoung,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.62543,0.00029,14.5,12.08568424,3,0.248,,,25,,Petersen,CDES,Large,Neither,Neither
2014,Petrizzo,Bivalve,Mya,Mya arenaria,Mya,Mya arenaria,,,CIS025-Marenaria,A,UCLAYoung,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,2,0.63873,0.01158,11,12.3852472,2.7,0.232,,,25,,Petersen,CDES,Large,Neither,Neither
