Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source,CDESorICDES,LARGEorSMALL,SyntheticVSForam,BenthicPlanktic
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,6,0.685,0.002785286,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.684,0.005358955,2,13.20872705,2,0.19,0.66,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Astarte,Astarte crenata,Astarte,Astarte crenata,,,,Ac-2,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.656,0.011186398,2,13.20872705,2,0.19,0.66,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,,Brach-m1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.66,0.002489598,5.5,12.87899294,1,0.092,0,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Rhychonellata,Ecnomiosa,Ecnomiosa gerda,Ecnomiosa,Ecnomiosa gerda,,,,Brach-m2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.014890612,5.5,12.87899294,1,0.092,0,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-1_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.010538726,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-1_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.658,0.012756774,2,13.20872705,2,0.19,0.66,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-2_B-12,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.735,0.049702075,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-2_B-14,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.666,0.01308367,2,13.20872705,2,0.19,0.66,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Clinocardium,Clinocardium ciliatum,Ciliatocardium,Ciliatocardium ciliatum,,,,Cc-3,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.67,0.009147,2,13.20872705,2,0.19,0.66,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-1,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.677,0.011792548,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-2,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.65,0.004769117,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Bivalve,Chlamys,Chlamys islandica,Chlamys,Chlamys islandica,,,,Ci-3,C,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,5,0.674,0.008630987,-1,13.50154048,2,0.196,0.72,NA,90,,Petersen,CDES,Large,Neither,
2013,Henkes,Gastropoda,Conus,Conus ermineus,Conus,Conus ermineus,,,,FGS-1-1,A,JohnsHopkins,NonForaminifera,1,2,Natural,Mollusk,Non-lake,NonCorals,3,0.566,0.00570956,27.5,11.06311899,2.2,0.16,1.34,NA,90,,Petersen,CDES,Large,Neither,
