"","Material","Freq","Model","elpd_diff","se_diff"
"1","1",25,"BLM1_NE",-23365.6436400575,438.95997125664
"2","1",25,"BLM1_E",-222774.131860243,4184.98409884908
"3","1",25,"BLM3",0,0
"4","2",829,"BLM1_E",-35174.2013321263,314.846391719822
"5","2",829,"BLM1_NE",0,0
"6","2",829,"BLM3",-4545.55162522702,40.1796524412512
"7","Full",2562,"BLM3",0,0
"8","Full",2562,"BLM1_NE",-4856.82633805408,41.645314524068
"9","Full",2562,"BLM1_E",-30287.3136465452,263.239553796373
