"","targetColumns.y","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"17","Teeth","Full","BLM1_fit",0.0405321113625743,0.00059422426881459,0.139849875558482,0.006499211966045
"18","Teeth","Full","BLM1_fit_NoErrors",0.039694700974857,0.000245275001853176,0.148966822614151,0.00272074409785815
"19","Teeth","Full","Weighted",0.0396536941282352,0.000271824869678464,0.149466480691584,0.00310491937557158
"20","Teeth","Full","York",0.0392601569438176,0.000486949213792314,0.156005249212081,0.00523977970083523
"21","Teeth","Full","Deming",0.0395274851921231,0.00122525646742198,0.153658527107873,0.0111825227387368
"22","Teeth","Full","LM",0.0397099339065872,0.00031608926132425,0.148788793349563,0.00357311032343068
