"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-7050.79069239454,-7188.06419660353,-6927.97840461398
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-4133.95534664866,-4226.9735062055,-4050.15290415074
"3","Mineralogy","Mineralogy","BLM3_fit",-7111.11226289138,-7406.57236957025,-2824.3222466175
"4","Mineralogy","7","BLM1_fit",-268.181705685827,-297.35871243457,-235.046338684499
"5","Mineralogy","7","BLM1_fit_NoErrors",-200.542105803983,-222.262688167814,-180.948187584952
"6","Mineralogy","2","BLM1_fit",-862.054642215139,-917.931430077297,-814.594260582279
"7","Mineralogy","2","BLM1_fit_NoErrors",-701.879335640953,-743.842385618238,-664.52062176611
"8","Mineralogy","5","BLM1_fit",-4806.63135263969,-4922.69077130042,-4666.87653535023
"9","Mineralogy","5","BLM1_fit_NoErrors",-2970.53564480532,-3065.4969837792,-2878.92444128495
"10","Mineralogy","10","BLM1_fit",-156.145251846427,-175.579972412396,-142.529306124467
"11","Mineralogy","10","BLM1_fit_NoErrors",-114.824878936841,-122.951659769086,-108.529307723346
"12","Mineralogy","1","BLM1_fit",-147.528944401309,-170.964646703264,-136.54359538718
"13","Mineralogy","1","BLM1_fit_NoErrors",-127.721382493597,-134.378308991904,-121.029229436857
"14","Mineralogy","4","BLM1_fit",-200.57199296928,-221.170566724854,-182.457254993757
"15","Mineralogy","4","BLM1_fit_NoErrors",-166.70368073218,-172.405200404045,-159.845131641087
