"","targetMaterialColumn","original","number"
"1","Lab","ETH",4
"2","Lab","JohnsHopkins",10
"3","Lab","Tulane",13
"4","Lab","Goethe",6
"5","Lab","ImperialCollegeLondon",7
"6","Lab","UMichigan",16
"7","Lab","UCLAYoung",15
"8","Lab","IPGP",8
"9","Lab","Cambridge",3
"10","Lab","",1
"11","Lab","IPSL",9
"12","Lab","UCLATripati",14
"13","Lab","UW",18
"14","Lab","UnivBergen",17
"15","Lab","Caltech",2
"16","Lab","MIT",12
"17","Lab","GeoSurveyCanada",5
"18","Lab","Miami",11
