"","targetMaterialColumn","original","number"
"1","Mineralogy","D",6
"2","Mineralogy","A",1
"3","Mineralogy","C",4
"4","Mineralogy","S",9
"5","Mineralogy","M",7
"6","Mineralogy","unkn",10
"7","Mineralogy","mix",8
"8","Mineralogy","V",11
"9","Mineralogy","Apatite",3
"10","Mineralogy","A>>C",2
"11","Mineralogy","C>A",5
