"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM1_fit",0.948643315796721,0.940017769326087,0.955722603325835
"2","Mineralogy","Mineralogy","Conditional","BLM1_fit_NoErrors",0.949150513142071,0.940821011835159,0.956085829766412
"3","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.999287101261058,0.999086677653883,0.999435730986635
"4","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.0378347630602469,0.0370251908431718,0.0386957395988447
"5","Mineralogy","7","BLM1_fit",NA,0.969802199125135,0.959486542282169,0.971741789212349
"6","Mineralogy","7","BLM1_fit_NoErrors",NA,0.970830554558688,0.963438708274771,0.971741332039808
"7","Mineralogy","2","BLM1_fit",NA,0.901972411703188,0.886255846179278,0.910337916639823
"8","Mineralogy","2","BLM1_fit_NoErrors",NA,0.904778242665134,0.890971154780523,0.911562399652468
"9","Mineralogy","5","BLM1_fit",NA,0.951283707390036,0.949359614752853,0.952503161441017
"10","Mineralogy","5","BLM1_fit_NoErrors",NA,0.951146624296221,0.949079547144177,0.952527789262669
"11","Mineralogy","10","BLM1_fit",NA,0.987595077648361,0.983641495034276,0.988134241190529
"12","Mineralogy","10","BLM1_fit_NoErrors",NA,0.98772388122166,0.982735650942327,0.98813592912379
"13","Mineralogy","1","BLM1_fit",NA,0.533132423118006,0.23404261049622,0.661410136061273
"14","Mineralogy","1","BLM1_fit_NoErrors",NA,0.548480587747225,0.156822984816949,0.679512505882142
"15","Mineralogy","4","BLM1_fit",NA,0.934428446227122,0.903314492982841,0.94524323527915
"16","Mineralogy","4","BLM1_fit_NoErrors",NA,0.942518739278285,0.901427579462496,0.946107715362738
