"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM1_fit",0.940136424003672,0.934393864108927,0.949013234365163
"2","Mineralogy","Mineralogy","Conditional","BLM1_fit_NoErrors",0.940304346503453,0.934041719269896,0.948817587705216
"3","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.999062401017305,0.998847882099942,0.999187422466755
"4","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.038675859944042,0.0380295228715895,0.0395274958232989
"5","Mineralogy","6","BLM1_fit",NA,0.929111541242863,0.905795634975143,0.934447174530389
"6","Mineralogy","6","BLM1_fit_NoErrors",NA,0.929997856276847,0.907714744696916,0.934448836160738
"7","Mineralogy","1","BLM1_fit",NA,0.892386135320191,0.872810928794712,0.900220712337535
"8","Mineralogy","1","BLM1_fit_NoErrors",NA,0.89271524178175,0.876292641755185,0.90081377163378
"9","Mineralogy","4","BLM1_fit",NA,0.934597749742271,0.93189772513582,0.936653819257647
"10","Mineralogy","4","BLM1_fit_NoErrors",NA,0.934315574691649,0.931065211845174,0.936487496979613
"11","Mineralogy","9","BLM1_fit",NA,0.976684284813518,0.971162691765421,0.977347976362926
"12","Mineralogy","9","BLM1_fit_NoErrors",NA,0.97636267361057,0.965037771252634,0.977347433840325
"13","Mineralogy","10","BLM1_fit",NA,0.976740889594448,0.934964891544054,0.985282597871245
"14","Mineralogy","10","BLM1_fit_NoErrors",NA,0.968064900619341,0.468008345965065,0.985268767874623
"15","Mineralogy","8","BLM1_fit",NA,0.876252018691958,0.0559544692338525,0.999832238300074
"16","Mineralogy","8","BLM1_fit_NoErrors",NA,0.832886408300462,0.0052239496026408,0.998756102968613
"17","Mineralogy","11","BLM1_fit",NA,0.948488267688381,0.871832134294439,0.954188771721905
"18","Mineralogy","11","BLM1_fit_NoErrors",NA,0.931941068998585,0.131711810767387,0.954176516257001
"19","Mineralogy","3","BLM1_fit",NA,0.893796055755672,0.833475398547617,0.907282520459949
"20","Mineralogy","3","BLM1_fit_NoErrors",NA,0.898142901454083,0.838996573076983,0.907431993632852
