"","targetColumns.y","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"17","Mollusk","Full","BLM1_fit",0.0392067295821121,0.000293795740521117,0.154935758905548,0.00331263850788103
"18","Mollusk","Full","BLM1_fit_NoErrors",0.0393832463198282,0.000291766130052856,0.152508866328594,0.00326169795904924
"19","Mollusk","Full","Weighted",0.0392956241484207,0.000318268883058316,0.153476934283077,0.00363040744627432
"20","Mollusk","Full","York",0.0390493937677083,0.000493966901514319,0.157321285657719,0.00537778224393719
"21","Mollusk","Full","Deming",0.0415819423642822,0.0021903892148304,0.128883640028431,0.0213183370678033
"22","Mollusk","Full","LM",0.0393710999389878,0.000363070354173561,0.152652054522641,0.00411190913688068
