"","Material","Freq","Model","elpd_diff","se_diff"
"1","Natural",682,"BLM1_NE",0,0
"2","Natural",682,"BLM3",-6570.77105405036,33.4861543760558
"3","Natural",682,"BLM1_E",-4805349.25982644,24379.3732964423
"4","Synthetic",289,"BLM1_NE",0,0
"5","Synthetic",289,"BLM3",-1711.15110241743,50.9138437316603
"6","Synthetic",289,"BLM1_E",-929373.423328222,25311.4542529602
"7","Full",971,"BLM1_NE",0,0
"8","Full",971,"BLM3",-12353.5532470088,110.444743588911
"9","Full",971,"BLM1_E",-2536565.6137159,22442.7519366194
