"","Material","Freq","Model","elpd_diff","se_diff"
"1","Lake",82,"BLM1_NE",-2435.20276801124,21.456018178457
"2","Lake",82,"BLM1_E",-585509.320462841,5100.31419081036
"3","Lake",82,"BLM3",0,0
"4","Non-lake",911,"BLM1_E",-2029407.74466956,19929.2620428483
"5","Non-lake",911,"BLM3",0,0
"6","Non-lake",911,"BLM1_NE",-209.857301351761,10.6682127041608
"7","Full",993,"BLM3",0,0
"8","Full",993,"BLM1_NE",-9010.69929600195,71.940548747835
"9","Full",993,"BLM1_E",-3371213.7719538,30595.8956574275
